시설명,시도,시군구,총길이,총폭,경간수,최대경간장,상부구조,설계하중,교통량,준공년도,준공후경과년수
가남JCT육교(강릉),경기도,여주군,225,16.2,5,45,강박스거더교,DB-24,24562,1994,29
가남JCT육교(인천),경기도,여주군,225,16.2,5,45,강박스거더교,DB-24,24562,1994,29
가남교(강릉0),경기도,여주군,25,19.3,1,25,프리플렉스거더교,DB-24,61826,2003,20
가남교(강릉1),경기도,여주군,25,5.6,1,25,PSCI거더교,DB-24,61826,2010,13
가남교(인천),경기도,여주군,25,19.3,1,25,프리플렉스거더교,DB-24,61826,2003,20
가산교(강릉),경기도,이천시,10,20.1,1,10,라멘교,DB-24,61826,2003,20
가산교(인천),경기도,이천시,10,20.6,1,10,라멘교,DB-24,61826,2003,20
가야교(강릉),경기도,여주군,13.9,12.5,1,13.9,라멘교,DB-24,24562,1999,24
가야교(인천),경기도,여주군,13.9,12.5,1,13.9,라멘교,DB-24,24562,1994,29
가학교,경기도,광명시,160,26,4,50,PSCI거더교,DB-24,29864,2016,7
각평육교(강릉0),경기도,이천시,12,12.1,1,12,라멘교,DB-24,58455,1994,29
각평육교(강릉1),경기도,이천군,12,7.2,1,12,라멘교,DB-24,58455,2011,12
각평육교(인천0),경기도,이천시,12,12.1,1,12,라멘교,DB-24,58455,1994,29
각평육교(인천1),경기도,이천군,12,7.2,1,12,라멘교,DB-24,58455,2011,12
갈매1육교,경기도,구리시,50.2,4.9,1,50.2,PSCI거더교,기타,28404,2017,6
갈매2육교,경기도,구리시,50.1,20.9,1,50.1,강박스거더교,DB-24,37338,2017,6
갈매3육교,경기도,구리시,45.6,12.5,1,45.6,PSCI거더교,DB-24,37338,2017,6
갈매3육교,경기도,구리시,45.6,12.5,1,45.6,PSCI거더교,DB-24,37338,2017,6
갈매교(구리),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,28404,2017,6
갈매교(구리),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,37338,2017,6
갈매교(포천),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,37338,2017,6
갈매교(포천),경기도,구리시,30.9,63,1,30.9,라멘교,DB-24,37338,2017,6
갈전1교(제천),경기도,안성시,30.1,11.8,1,30.1,PSCI거더교,DB-24,29545,2008,15
갈전1교(평택),경기도,안성시,30.1,12.5,1,30.1,PSCI거더교,DB-24,29545,2008,15
갈전2교(제천),경기도,안성시,35,11.8,1,35,PSCI거더교,DB-24,29545,2008,15
갈전2교(평택),경기도,안성시,35,12.5,1,35,PSCI거더교,DB-24,29545,2008,15
갈전안성천교(제천),경기도,안성시,150.6,11.8,5,30.1,PSCI거더교,DB-24,29545,2008,15
갈전안성천교(평택),경기도,안성시,150.6,12.5,5,30.1,PSCI거더교,DB-24,29545,2008,15
갈전육교,경기도,안성시,43.5,30,3,24.5,라멘교,DB-24,29545,2008,15
감암1교(구리),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암1교(구리),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암1교(포천),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암1교(포천),경기도,포천시,90.4,24.6,3,30.2,PSCI거더교,DB-24,18494,2017,6
감암2교(구리),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암2교(구리),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암2교(포천),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암2교(포천),경기도,포천시,12,24.6,1,12,라멘교,DB-24,18494,2017,6
감암3교(구리),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감암3교(구리),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감암3교(포천),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감암3교(포천),경기도,포천시,15,24.5,1,15,라멘교,DB-24,18494,2017,6
감일1교(구리0),경기도,하남시,30.1,12,1,30.1,PSCI거더교,DB-24,108430,1991,32
감일1교(구리1),경기도,하남시,30.1,7.8,1,30.1,PSCI거더교,DB-24,108430,2002,21
감일1교(판교0),경기도,하남시,30.1,12.1,1,30.1,PSCI거더교,DB-24,108430,1991,32
감일1교(판교1),경기도,하남시,30.1,13.4,1,30.1,PSCI거더교,DB-24,108430,2002,21
감일1육교,경기도,하남시,100.1,8.4,2,50,강박스거더교,DB-24,81126,2002,21
감일2교(구리0),경기도,하남시,40.7,12,1,40.7,프리플렉스거더교,DB-24,108430,1991,32
감일2교(구리1),경기도,하남시,41.2,14.5,1,41.2,프리플렉스거더교,DB-24,108430,2002,21
감일2교(판교0),경기도,하남시,40.7,12,1,40.7,프리플렉스거더교,DB-24,108430,1991,32
감일2교(판교1),경기도,하남시,41.2,7.6,1,41.2,프리플렉스거더교,DB-24,108430,2002,21
감일2육교,경기도,하남시,100.1,8,2,50,강박스거더교,DB-24,81126,2002,21
감일3교(구리0),경기도,하남시,210.4,11.9,7,30.2,PSCI거더교,DB-24,108430,1991,32
감일3교(구리1),경기도,하남시,210.4,17.4,7,30.2,PSCI거더교,DB-24,108430,2002,21
감일3교(판교),경기도,하남시,210.4,18.7,7,30.2,PSCI거더교,DB-24,108430,1991,32
감일4교(구리0),경기도,하남시,9.6,14.4,1,9.6,라멘교,DB-24,81126,1991,32
감일4교(구리1),경기도,하남시,9.6,7.3,1,9.6,라멘교,DB-24,81126,2002,21
감일4교(판교0),경기도,하남시,9.6,20.5,1,9.6,라멘교,DB-24,81126,1991,32
감일4교(판교1),경기도,하남시,9.6,12.6,1,9.6,라멘교,DB-24,81126,2002,21
감일5교(구리0),경기도,하남시,41.1,15,1,41.1,프리플렉스거더교,DB-24,81126,1991,32
감일5교(구리1),경기도,하남시,41.1,14.1,1,41.1,프리플렉스거더교,DB-24,81126,2002,21
감일5교(판교),경기도,하남시,41.1,11.9,1,41.1,프리플렉스거더교,DB-24,81126,1991,32
강동대교(구리0),서울특별시,강동구,1126,12.6,13,125,PSC박스거더교,DB-24,84424,1991,32
강동대교(구리1),서울특별시,강동구,1126,12.6,13,125,PSC박스거더교,DB-24,84424,1991,32
강동대교(판교),서울특별시,강동구,1126,19.8,13,125,PSC박스거더교,DB-24,84424,2002,21
강문교(제천),경기도,안성시,150,17.8,3,60,강박스거더교,DB-24,36471,2002,21
강문교(평택),경기도,안성시,150,15.7,3,60,강박스거더교,DB-24,36471,2002,21
강일IC1교,서울특별시,강동구,79.1,11.6,3,31,PSC슬래브교,DB-24,84424,2009,14
강일IC2교,서울특별시,강동구,141.1,8,3,47.1,강박스거더교,DB-24,84424,2002,21
강일IC3교,서울특별시,강동구,280.1,8.6,8,35.1,PSC박스거더교,DB-24,84424,1991,32
강일IC4교,서울특별시,강동구,175.2,8.6,5,35.1,PSC박스거더교,DB-24,84424,2002,21
강일교(구리0),서울특별시,강동구,90.2,11.9,3,30.1,PSCI거더교,DB-24,119980,1987,36
강일교(구리1),서울특별시,강동구,90.2,11.5,3,30.1,PSCI거더교,DB-24,119980,2001,22
강일교(판교0),서울특별시,강동구,90.2,11.9,3,30.1,PSCI거더교,DB-24,119980,1987,36
강일교(판교1),서울특별시,강동구,90.2,10.5,3,30.1,프리플렉스거더교,DB-24,119980,2001,22
강천1교(강릉),경기도,여주군,120,12.9,4,30,PSCI거더교,DB-24,20826,1994,29
강천1교(인천),경기도,여주군,120,12.9,4,30,PSCI거더교,DB-24,20826,1994,29
개매교(강릉0),경기도,군포시,39.1,12,3,15,RC슬래브교,DB-24,65628,1991,32
개매교(강릉1),경기도,군포시,38.8,6.3,3,14.9,RC슬래브교,DB-24,65628,2001,22
개매교(인천0),경기도,군포시,39.1,12,3,15,RC슬래브교,DB-24,65628,1991,32
개매교(인천1),경기도,군포시,38.8,6,3,14.9,RC슬래브교,DB-24,65628,2001,22
개화교,서울특별시,강서구,360.6,32.2,12,30.1,PSCI거더교,DB-24,18486,2000,23
개화육교(상행선),서울특별시,강서구,430.1,16.2,8,70,강박스거더교,DB-24,18486,2000,23
개화육교(하행선),경기도,김포시,465.1,16.2,9,70,강박스거더교,DB-24,18486,2000,23
거모1교(강릉),경기도,시흥시,50.1,15.6,1,50.1,강박스거더교,DB-24,63701,1994,29
거모1교(인천),경기도,시흥시,50.1,15.6,1,50.1,강박스거더교,DB-24,63701,1994,29
거모2교(강릉),경기도,시흥시,10,15.6,1,10,라멘교,DB-24,63701,1994,29
거모2교(인천),경기도,시흥시,10,15.6,1,10,라멘교,DB-24,63701,1994,29
거모3교(강릉),경기도,시흥시,395.2,16.8,9,45,PSC박스거더교,DB-24,56092,1994,29
거모3교(인천),경기도,시흥시,395.2,16.8,9,45,PSC박스거더교,DB-24,56092,1994,29
거모4교(강릉),경기도,시흥시,210,15.8,7,30,PSCI거더교,DB-24,56092,1994,29
거모4교(인천),경기도,시흥시,210,15.8,7,30,PSCI거더교,DB-24,56092,1994,29
거모5교,경기도,시흥시,30,31.4,1,30,PSCI거더교,DB-24,32968,2013,10
거모6교,경기도,시흥시,12,31.7,1,12,라멘교,DB-24,32968,2013,10
거물대천교,경기도,김포시,45,24.3,1,45,PSCI거더교,DB-24,13027,2017,6
거여고가교(구리0),서울특별시,송파구,962.8,12,20,50.1,PSC박스거더교,DB-24,108430,1991,32
거여고가교(구리1),서울특별시,송파구,962.8,12,20,50.1,PSC박스거더교,DB-24,108430,1991,32
거여고가교(판교),서울특별시,송파구,962.8,19.1,20,50.1,PSC박스거더교,DB-24,108430,2002,21
건건교(목포),경기도,안산시 상록구,265.3,16.1,5,55,강박스거더교,DB-24,58390,1996,27
건건교(서울),경기도,안산시 상록구,265.3,16.1,5,55,강박스거더교,DB-24,58390,1996,27
건업1교(광주),경기도,광주시,70.1,12.4,2,35,PSCI거더교,DB-24,28346,2016,7
건업1교(원주),경기도,광주시,70.1,15.4,2,35,PSCI거더교,DB-24,28346,2016,7
건업2교(광주),경기도,광주시,330.4,12.7,10,35,PSCI거더교,DB-24,28346,2016,7
건업2교(원주),경기도,광주시,280.3,12.6,8,35,PSCI거더교,DB-24,28346,2016,7
검단양촌IC R-A1교,경기도,김포시,80,22.8,2,40,강박스거더교,DB-24,35509,2017,6
검단천교,경기도,김포시,90,24.3,2,45,PSCI거더교,DB-24,35509,2017,6
경기광주JCT Ramp-A1교,경기도,광주시,15,9,1,15,라멘교,DB-24,28346,2016,7
경기광주JCT Ramp-A2교,경기도,광주시,80,12.6,2,40,PSCI거더교,DB-24,28346,2016,7
경기광주JCT Ramp-A3교,경기도,광주시,196,12.6,4,58,강박스거더교,DB-24,28346,2016,7
경기광주JCT Ramp-A4교,경기도,광주시,55,12.6,1,55,강박스거더교,DB-24,28346,2016,7
경기광주JCT Ramp-B1교,경기도,광주시,40,10.2,1,40,PSCI거더교,DB-24,28346,2016,7
경기광주JCT Ramp-B2교,경기도,광주시,60,10.3,2,30,PSCI거더교,DB-24,28346,2016,7
경기광주JCT Ramp-C1교,경기도,광주시,195,9,4,65,강박스거더교,DB-24,28346,2016,7
경기광주JCT Ramp-C2교,경기도,광주시,50,9.1,2,25,PSC중공슬래브교,DB-24,28346,2016,7
경기광주JCT Ramp-D교,경기도,광주시,195,9,4,65,강박스거더교,DB-24,28346,2016,7
경안천1교(이천),경기도,광주시,271.3,12.6,9,30.2,PSCI거더교,DB-24,39862,2001,22
경안천1교(하남),경기도,광주시,271.3,12.6,9,30.2,PSCI거더교,DB-24,39862,2001,22
경안천교(강릉0),경기도,용인시,150,12.1,5,30,PSCI거더교,DB-24,77863,1994,29
경안천교(강릉1),경기도,용인시,150,7.2,5,30,PSCI거더교,DB-24,77863,2011,12
경안천교(남이),경기도,광주시,300,12.4,10,30,PSCI거더교,DB-24,28639,1987,36
경안천교(인천0),경기도,용인시,150,12.1,5,30,PSCI거더교,DB-24,77863,1994,29
경안천교(인천1),경기도,용인시,150,7.4,5,30,PSCI거더교,DB-24,77863,2011,12
경안천교(하남),경기도,광주시,300,12.4,10,30,PSCI거더교,DB-24,28639,1987,36
계수1교(일산),경기도,시흥시,119.8,27,4,30,PSCI거더교,DB-24,82904,1999,24
계수1교(판교),경기도,시흥시,120.1,25.5,4,30.1,PSCI거더교,DB-24,82904,1999,24
계수2교(일산),경기도,시흥시,150.8,23.4,5,30.2,PSCI거더교,DB-24,82904,1999,24
계수2교(판교),경기도,시흥시,150.8,19.3,5,30.2,PSCI거더교,DB-24,82904,1999,24
계수3교(일산),경기도,시흥시,30.3,19.3,1,30.3,PSCI거더교,DB-24,82904,1999,24
계수3교(판교),경기도,시흥시,30.2,19.3,1,30.2,PSCI거더교,DB-24,82904,1999,24
계수4교(일산),경기도,시흥시,180.1,19.3,5,45,강박스거더교,DB-24,82904,1999,24
계수4교(판교),경기도,시흥시,180.1,19.3,5,45,강박스거더교,DB-24,82904,1999,24
계수5교(일산),경기도,시흥시,15.5,27,1,15.5,라멘교,DB-24,82904,1999,24
계수5교(판교),경기도,시흥시,15.5,27,1,15.5,라멘교,DB-24,82904,1999,24
계신1교(광주),경기도,여주시,135,12.4,3,45,PSCI거더교,DB-24,26153,2016,7
계신1교(원주),경기도,여주시,135,15.6,3,45,PSCI거더교,DB-24,26153,2016,7
계신2교(광주),경기도,여주시,45,11.9,1,45,PSCI거더교,DB-24,26153,2016,7
계신2교(원주),경기도,여주시,45,12.4,1,45,PSCI거더교,DB-24,26153,2016,7
계신교(양평),경기도,여주군,13,15.6,1,13,라멘교,DB-24,7736,2012,11
계신교(창원),경기도,여주군,13,12.5,1,13,라멘교,DB-24,7736,2012,11
계장천교(양평),경기도,여주군,45,12.5,1,45,PSCI거더교,DB-24,7736,2012,11
계장천교(창원),경기도,여주군,45,12,1,45,PSCI거더교,DB-24,7736,2012,11
고기교(서울),경기도,용인시 수지구,70.4,14.7,2,35.2,PSCI거더교,DB-24,61744,2009,14
고기교(용인),경기도,용인시 수지구,70.4,14.7,2,35.2,PSCI거더교,DB-24,61744,2009,14
고담교(강릉),경기도,이천시,24,28.3,2,12,라멘교,DB-24,64988,2003,20
고담교(인천),경기도,이천시,24,27.3,2,12,라멘교,DB-24,64988,2003,20
고등IC1교,경기도,성남시 수정구,170,15.9,3,60,강박스거더교,DB-24,31073,2009,14
고등IC2교,경기도,성남시 수정구,45,7.4,1,45,강박스거더교,DB-24,31073,2009,14
고등교(서울),경기도,성남시 수정구,370,10.9,7,60,강박스거더교,DB-24,31073,2009,14
고등교(용인),경기도,성남시 수정구,430,10.9,9,60,강박스거더교,DB-24,31073,2009,14
고렴1교(제천),경기도,평택시,15,19.4,1,15,라멘교,DB-24,42307,2002,21
고렴1교(평택),경기도,평택시,15,19.4,1,15,라멘교,DB-24,42307,2002,21
고렴2교(제천),경기도,평택시,24,18.9,2,12,라멘교,DB-24,42307,2002,21
고렴2교(평택),경기도,평택시,24,18.9,2,12,라멘교,DB-24,42307,2002,21
고렴3교,경기도,평택시,7,38.1,1,7,라멘교,DB-24,42307,2002,21
고림교(강릉0),경기도,용인시 처인구,30,12.1,1,30,프리플렉스거더교,DB-24,68827,1994,29
고림교(강릉1),경기도,용인시,30,7.4,1,30,프리플렉스거더교,DB-24,68827,2011,12
고림교(인천0),경기도,용인시,30,12.1,1,30,프리플렉스거더교,DB-24,68827,1994,29
고림교(인천1),경기도,용인시,30,7.2,1,30,프리플렉스거더교,DB-24,68827,2011,12
고매교(부산),경기도,용인시 기흥구,45,23.4,2,22.5,RC중공슬래브교,DB-24,96020,1993,30
고매교(서울),경기도,용인시 기흥구,45,36.8,2,22.5,RC중공슬래브교,DB-24,96020,1993,30
고모천교(구리),경기도,포천시,60.1,24.3,1,60.1,강박스거더교,DB-24,23013,2017,6
고모천교(포천),경기도,포천시,60.1,24.3,1,60.1,강박스거더교,DB-24,23013,2017,6
고양IC1교(R-A교),경기도,고양시 덕양구,120,15.6,3,50,강박스거더교,DB-24,74977,2006,17
고양IC교(일산),경기도,고양시 덕양구,55,25.2,1,55,강박스거더교,DB-24,76063,2006,17
고양IC교(퇴계원),경기도,고양시 덕양구,55,19.1,1,55,강박스거더교,DB-24,76063,2006,17
고잔1교(목포0),경기도,평택시,30,15.7,1,30,PSCI거더교,DB-24,45997,1996,27
고잔1교(목포1),경기도,평택시,30,5.7,1,30,PSCI거더교,DB-24,45997,2002,21
고잔1교(서울0),경기도,평택시,30,15.7,1,30,PSCI거더교,DB-24,45997,1996,27
고잔1교(서울1),경기도,평택시,30,5.7,1,30,PSCI거더교,DB-24,45997,2002,21
고잔2교(목포),경기도,평택시,30,15.7,1,30,PSCI거더교,DB-24,45997,1996,27
고잔2교(서울),경기도,평택시,30,15.7,1,30,PSCI거더교,DB-24,45997,1996,27
고잔3교(목포),경기도,평택시,30,3.2,2,15,라멘교,DB-24,45997,2013,10
고잔3교(목포0),경기도,평택시,30,15.7,2,15,라멘교,DB-24,45997,1996,27
고잔3교(목포1),경기도,평택시,30,5.7,2,15,라멘교,DB-24,45997,2002,21
고잔3교(서울),경기도,평택시,30,11.7,2,15,라멘교,DB-24,45997,2013,10
고잔3교(서울0),경기도,평택시,30,15.7,2,15,라멘교,DB-24,45997,1996,27
고잔3교(서울1),경기도,평택시,30,5.7,2,15,라멘교,DB-24,45997,2002,21
고잔4교(목포),경기도,평택시,15,15.7,1,15,라멘교,DB-24,45997,1996,27
고잔4교(목포),경기도,평택시,15,15.7,1,15,라멘교,DB-24,45997,1996,27
고잔4교(서울),경기도,평택시,15,3.6,1,15,라멘교,DB-24,45997,2013,10
고잔4교(서울0),경기도,평택시,15,15.7,1,15,라멘교,DB-24,45997,1996,27
고잔4교(서울1),경기도,평택시,15,5.1,1,15,라멘교,DB-24,45997,2019,4
고잔5교(목포),경기도,평택시,15,3.1,1,15,라멘교,DB-24,54525,2013,10
고잔5교(목포0),경기도,평택시,15,15.7,1,15,라멘교,DB-24,54525,1996,27
고잔5교(목포1),경기도,평택시,15,5.6,1,15,라멘교,DB-24,54525,2019,4
고잔5교(서울0),경기도,평택시,15,15.7,1,15,라멘교,DB-24,54525,1996,27
고잔5교(서울1),경기도,평택시,15,9.4,1,15,라멘교,DB-24,54525,2019,4
고잔6교(목포0),경기도,평택시,15,15.7,1,15,라멘교,DB-24,54525,1996,27
고잔6교(목포1),경기도,평택시,15,9.2,1,15,라멘교,DB-24,54525,2019,4
고잔6교(서울0),경기도,평택시,15,15.7,1,15,라멘교,DB-24,54525,1996,27
고잔6교(서울1),경기도,평택시,15,9.4,1,15,라멘교,DB-24,54525,2019,4
고잔교(시흥),경기도,평택시,12,6,1,12,라멘교,DB-24,28589,2013,10
고잔교(제천),경기도,평택시,12,19.9,1,12,라멘교,DB-24,42307,2002,21
고잔교(평택),경기도,평택시,12,15.8,1,12,라멘교,DB-24,42307,2002,21
고정1교,경기도,화성시,15,24.5,1,15,라멘교,DB-24,38602,2013,10
고정2교,경기도,화성시,80,24.3,2,40,PSCI거더교,DB-24,38602,2013,10
고정3교,경기도,화성시,13.2,24.3,1,13.2,라멘교,DB-24,38602,2013,10
고척1교(이천),경기도,이천군,60,13.1,1,60,아치교,DB-24,27962,2001,22
고척1교(하남),경기도,이천시,60,13.1,1,60,아치교,DB-24,27962,2001,22
고척2교(이천),경기도,이천시,60.2,13.6,1,60.2,아치교,DB-24,27962,2001,22
고척2교(하남),경기도,이천시,60.2,13.6,1,60.2,아치교,DB-24,27962,2001,22
고척3교(이천),경기도,이천시,12,12.2,1,12,라멘교,DB-24,27962,2001,22
고척3교(하남),경기도,이천시,12,12.2,1,12,라멘교,DB-24,27962,2001,22
고척교(남이),경기도,이천시,12,12.2,1,12,라멘교,DB-24,22326,2001,22
고척교(하남),경기도,이천시,12,12.2,1,12,라멘교,DB-24,22326,2001,22
곤지암1육교(남이),경기도,광주시,12,27.7,1,12,라멘교,DB-24,25113,1987,36
곤지암1육교(하남0),경기도,광주시,12,13.6,1,12,라멘교,DB-24,25113,1987,36
곤지암1육교(하남1),경기도,광주시,12,8,1,12,라멘교,DB-24,25113,1987,36
곤지암2육교(남이),경기도,광주시,55,15.4,3,25,RC중공슬래브교,DB-24,25113,1987,36
곤지암2육교(하남),경기도,광주시,55,15.4,3,25,RC중공슬래브교,DB-24,25113,1987,36
곤지암3육교,경기도,광주시,70,16.6,4,20,RC중공슬래브교,DB-24,25113,1987,36
곤지암교(이천),경기도,광주시,275,12.2,6,50,강박스거더교,DB-24,39862,2001,22
곤지암교(하남),경기도,광주시,245,12.2,5,55,강박스거더교,DB-24,39862,2001,22
곤지암천1교(이천),경기도,광주시,150,12.2,5,30,PSCI거더교,DB-24,39862,2001,22
곤지암천1교(하남),경기도,광주시,150,12.2,5,30,PSCI거더교,DB-24,39862,2001,22
곤지암천교(남이),경기도,광주시,150,11.9,5,30,PSC중공슬래브교,DB-24,25113,1987,36
곤지암천교(하남),경기도,광주시,150,11.9,5,30,PSC중공슬래브교,DB-24,25113,1987,36
공도육교(부산0),경기도,평택시,40,22.9,1,40,프리플렉스거더교,DB-24,94892,1993,30
공도육교(부산1),경기도,평택시,40,7.6,1,40,프리플렉스거더교,DB-24,94892,2009,14
공도육교(서울0),경기도,평택시,40,19.3,1,40,프리플렉스거더교,DB-24,94892,1993,30
공도육교(서울1),경기도,평택시,40,7.8,1,40,프리플렉스거더교,DB-24,94892,2009,14
공릉천1교(일산),경기도,고양시 덕양구,289.8,19.6,6,50,강박스거더교,DB-24,75781,2006,17
공릉천1교(퇴계원),경기도,고양시 덕양구,289.8,19,6,50,강박스거더교,DB-24,75781,2006,17
공릉천2교(일산),경기도,고양시 덕양구,134,19.4,2,67,강박스거더교,DB-24,75781,2006,17
공릉천2교(퇴계원),경기도,고양시 덕양구,134,19.4,2,67,강박스거더교,DB-24,75781,2006,17
공릉천3교(일산),경기도,고양시 덕양구,190,19.6,4,50,강박스거더교,DB-24,75781,2006,17
공릉천3교(퇴계원),경기도,고양시 덕양구,240,23.7,5,50,강박스거더교,DB-24,75781,2006,17
공릉천4교(일산),경기도,고양시 덕양구,160,19.4,3,60,강박스거더교,DB-24,83467,2006,17
공릉천4교(퇴계원),경기도,고양시 덕양구,160,19.4,3,60,강박스거더교,DB-24,83467,2006,17
공세1교(부산),경기도,용인시 기흥구,35,23.4,3,13,RC슬래브교,DB-24,96020,1993,30
공세1교(서울0),경기도,용인시 기흥구,35,19.7,3,13,RC슬래브교,DB-24,96020,1993,30
공세1교(서울1),경기도,용인시 기흥구,35,5.2,3,13,RC슬래브교,DB-24,96020,2010,13
공세2교(부산),경기도,용인시 기흥구,30.5,23.4,1,30.5,프리플렉스거더교,DB-24,96020,1993,30
공세2교(서울0),경기도,용인시 기흥구,30.5,19.3,1,30.5,프리플렉스거더교,DB-24,96020,1993,30
공세2교(서울1),경기도,용인시 기흥구,30.5,4.4,1,30.5,프리플렉스거더교,DB-24,96020,2010,13
공세육교(부산),경기도,용인시 기흥구,30,23.4,1,30,프리플렉스거더교,DB-24,96020,1993,30
공세육교(서울),경기도,용인시 기흥구,30,19.3,1,30,프리플렉스거더교,DB-24,96020,1993,30
공수골교(서울),경기도,양주시,120,12.3,3,50,강박스거더교,DB-24,9722,2017,6
공수골교(양주),경기도,양주시,120,15.9,3,50,강박스거더교,DB-24,9722,2017,6
과림1교(성남),경기도,시흥시,50,15.6,1,50,강박스거더교,DB-24,68663,1994,29
과림1교(인천),경기도,시흥시,50,15.6,1,50,강박스거더교,DB-24,68663,1994,29
과림2교(성남),경기도,시흥시,10,15.6,1,10,라멘교,DB-24,68663,1994,29
과림2교(인천),경기도,시흥시,10,15.6,1,10,라멘교,DB-24,68663,1994,29
관리천교(평택),경기도,평택시,80,19,2,40.3,PSCI거더교,DB-24,44064,2009,14
관리천교(화성),경기도,평택시,80,15.8,2,40,PSCI거더교,DB-24,44064,2009,14
광교IC1교,경기도,수원시 영통구,16,10,1,16,라멘교,DB-24,65756,2009,14
광교IC2교,경기도,수원시 영통구,45,7.9,1,45,강박스거더교,DB-24,65756,2013,10
광교IC교,경기도,용인시 수지구,63.5,11.6,1,63.5,강박스거더교,DB-24,65756,2009,14
광교교(강릉0),경기도,수원시 장안구,210.1,12,7,30,PSCI거더교,DB-24,82280,1991,32
광교교(강릉1),경기도,수원시 장안구,210.1,4.8,7,30,PSCI거더교,DB-24,82280,2001,22
광교교(강릉2),경기도,수원시 장안구,210.1,5.5,7,30,PSCI거더교,DB-24,82280,2013,10
광교교(인천0),경기도,수원시 장안구,210.1,12,7,30,PSCI거더교,DB-24,82280,1991,32
광교교(인천1),경기도,수원시 장안구,210.1,4.8,7,30,PSCI거더교,DB-24,82280,2001,22
광교교(인천2),경기도,수원시 장안구,210.1,4.8,7,30,PSCI거더교,DB-24,82280,2006,17
광대1교(양평),경기도,여주군,15,12,1,15,라멘교,DB-24,7359,2010,13
광대1교(창원),경기도,여주군,15,12.6,1,15,라멘교,DB-24,7359,2010,13
광대2교(양평),경기도,여주군,190,11.8,6,35,PSCI거더교,DB-24,7359,2010,13
광대2교(창원),경기도,여주군,190,12.5,6,35,PSCI거더교,DB-24,7359,2010,13
광명IC교(성남),경기도,광명시,61,15.6,3,25,RC중공슬래브교,DB-24,68663,1994,29
광명IC교(인천),경기도,광명시,61,19.7,3,25,RC중공슬래브교,DB-24,68663,1994,29
광명역IC교,경기도,안양시 만안구,50.1,15.6,1,50.1,강박스거더교,DB-24,72344,2001,22
광암교,경기도,하남시,12,19.8,1,12,라멘교,DB-24,81126,2002,21
광전육교,경기도,남양주시,45.3,8.9,1,45.3,PSCI거더교,DB-24,34813,2017,6
광전육교,경기도,남양주시,45.3,8.9,1,45.3,PSCI거더교,DB-24,34813,2017,6
광주1교(남이),경기도,광주시,68,8.3,2,34,PSCI거더교,DB-24,35224,1987,36
광주1교(하남),경기도,광주시,68,8.3,2,34,PSCI거더교,DB-24,35224,1987,36
광주2교,경기도,광주시,80,8.5,4,20,RC중공슬래브교,DB-24,35224,1987,36
광주3교,경기도,광주시,100,8.5,4,25,PSCI거더교,DB-24,35224,1987,36
광주IC육교(남이),경기도,광주시,64,14.1,4,19.9,RC중공슬래브교,DB-24,35224,1987,36
광주IC육교(하남),경기도,광주시,64,14.1,4,19.9,RC중공슬래브교,DB-24,35224,1987,36
광지원1교(남이),경기도,광주시,305,12.4,7,45,PSC박스거더교,DB-24,35224,1987,36
광지원1교(하남),경기도,광주시,305,12.4,7,45,PSC박스거더교,DB-24,35224,1987,36
광지원2교(남이),경기도,광주시,250,12.4,5,50,강박스거더교,DB-24,35224,1987,36
광지원2교(하남),경기도,광주시,249.1,12.4,5,49.8,강박스거더교,DB-24,35224,1987,36
괘랑1교(동탄),경기도,화성시,25,15.9,1,50,PSCI거더교,DB-24,49757,2009,14
괘랑1교(봉담),경기도,화성시,25,15.9,1,25,PSCI거더교,DB-24,49757,2009,14
괘랑2교(동탄),경기도,화성시,50,15.8,1,50,강박스거더교,DB-24,49757,2009,14
괘랑2교(봉담),경기도,화성시,50,15.9,1,50,강박스거더교,DB-24,49757,2009,14
구리IC1교,경기도,구리시,40,12.5,1,40,강박스거더교,DB-24,88989,1992,31
구리IC2교(구리0),경기도,구리시,15,16.3,1,15,라멘교,DB-24,88989,1992,31
구리IC2교(구리1),경기도,구리시,15,8.2,1,15,라멘교,DB-24,88989,2002,21
구리IC2교(판교0),경기도,구리시,15,15.5,1,15,라멘교,DB-24,88989,1992,31
구리IC2교(판교1),경기도,구리시,15,10.3,1,15,라멘교,DB-24,88989,2002,21
구리IC교(구리0),경기도,구리시,60.2,17.8,2,30.1,PSCI거더교,DB-24,88989,1992,31
구리IC교(구리1),경기도,구리시,60.2,5.3,2,30.1,PSCI거더교,DB-24,88989,2002,21
